Year,Study,Rs 0.5°C-MAT,Rs annual
2005,S23,0.2,950.5136264
2005,S23,0.62,950.5136264
2005,S23,0.04,950.5136264
2005,S23,0.04,950.5136264
2005,S23,0.45,950.5136264
2005,S23,0.05,950.5136264
2005,S23,0.26,950.5136264
2005,S23,0.22,950.5136264
2006,S23,0.12,803.6379998
2006,S23,0.2,803.6379998
2006,S23,0.12,803.6379998
2006,S23,1.06,803.6379998
2006,S23,0.25,803.6379998
2006,S23,0.41,803.6379998
2006,S23,0.19,803.6379998
2006,S23,0.11,803.6379998
2006,S23,0.46,803.6379998
2006,S23,0.52,803.6379998
2006,S23,0.13,803.6379998
2006,S23,0.41,803.6379998
2006,S23,0.73,803.6379998
2006,S23,0.39,803.6379998
2006,S23,0.33,803.6379998
2006,S23,0.83,803.6379998
2006,S23,1.77,803.6379998
2006,S23,3.61,803.6379998
2006,S23,1.84,803.6379998
2006,S23,0.41,803.6379998
2006,S23,0.17,803.6379998
2006,S23,0.2,803.6379998
2006,S23,5.24,803.6379998
2006,S23,3.73,803.6379998
2006,S23,4.72,803.6379998
2006,S23,1.34,803.6379998
2006,S23,3.16,803.6379998
2006,S23,2.53,803.6379998
2006,S23,1.24,803.6379998
2006,S23,2.59,803.6379998
2006,S23,3.92,803.6379998
2006,S23,1.11,803.6379998
2006,S23,1.33,803.6379998
2006,S23,2.4,803.6379998
2006,S23,1.39,803.6379998
2006,S23,1.46,803.6379998
2006,S23,0.53,803.6379998
2006,S23,4.21,803.6379998
2006,S23,0.88,803.6379998
2006,S23,1.5,803.6379998
2006,S23,0.02,803.6379998
2006,S23,0.3,803.6379998
2006,S23,0.19,803.6379998
2006,S23,0.17,803.6379998
2006,S23,0.19,803.6379998
2006,S23,0.18,803.6379998
2004,S23,0.55,868.8011045
2004,S23,0.95,868.8011045
2004,S23,0.81,868.8011045
2004,S23,0.66,868.8011045
2004,S23,0.94,868.8011045
2004,S23,1.92,868.8011045
2004,S23,1.82,868.8011045
2004,S23,1.8,868.8011045
2004,S23,3.15,868.8011045
2004,S23,3.14,868.8011045
2004,S23,2.76,868.8011045
2004,S23,1.44,868.8011045
2004,S23,2.84,868.8011045
2004,S23,2.66,868.8011045
2004,S23,2.41,868.8011045
2004,S23,1.17,868.8011045
2004,S23,2.23,868.8011045
2004,S23,2.01,868.8011045
2004,S23,2.31,868.8011045
2004,S23,1.83,868.8011045
2004,S23,2,868.8011045
2004,S23,1.78,868.8011045
2004,S23,1.75,868.8011045
2004,S23,1.9,868.8011045
2004,S23,1.78,868.8011045
2004,S23,1.72,868.8011045
2004,S23,1.7,868.8011045
2004,S23,2,868.8011045
2004,S23,2.13,868.8011045
2004,S23,0.74,868.8011045
2004,S23,1.9,868.8011045
2004,S23,1.74,868.8011045
2004,S23,1.74,868.8011045
2004,S23,1.28,868.8011045
2004,S23,0.74,868.8011045
2004,S23,1.95,868.8011045
2004,S23,1.39,868.8011045
2004,S23,1.53,868.8011045
2004,S23,1.16,868.8011045
2004,S23,0.91,868.8011045
2004,S23,1.03,868.8011045
2004,S23,0.48,868.8011045
2004,S23,0.67,868.8011045
2004,S23,0.51,868.8011045
2004,S23,0.8,868.8011045
2004,S23,1.25,868.8011045
2004,S23,0.79,868.8011045
2004,S23,0.8,868.8011045
2004,S23,0.7,868.8011045
2004,S23,1.04,868.8011045
2004,S23,0.95,868.8011045
2004,S23,0.63,868.8011045
2005,S23,0.56,950.5136264
2005,S23,0.28,950.5136264
2005,S23,1.49,950.5136264
2005,S23,1.27,950.5136264
2005,S23,1.07,950.5136264
2005,S23,1.06,950.5136264
2005,S23,0.7,950.5136264
2005,S23,1.1,950.5136264
2005,S23,1.07,950.5136264
2005,S23,0.75,950.5136264
2005,S23,0.58,950.5136264
2005,S23,0.42,950.5136264
2005,S23,0.76,950.5136264
2005,S23,1.07,950.5136264
2005,S23,1.52,950.5136264
2005,S23,1.23,950.5136264
2005,S23,1.38,950.5136264
2005,S23,1.26,950.5136264
2005,S23,1.29,950.5136264
2005,S23,1.51,950.5136264
2005,S23,1.67,950.5136264
2005,S23,1.57,950.5136264
2005,S23,1.26,950.5136264
2005,S23,1.58,950.5136264
2005,S23,1.47,950.5136264
2005,S23,3.6,950.5136264
2005,S23,3.56,950.5136264
2005,S23,0.22,950.5136264
2005,S23,0.23,950.5136264
2005,S23,0.43,950.5136264
2005,S23,0.52,950.5136264
2005,S23,0.36,950.5136264
2005,S23,1.73,950.5136264
2005,S23,1.36,950.5136264
2005,S23,0.45,950.5136264
2005,S23,1.45,950.5136264
2005,S23,0.05,950.5136264
2005,S23,0.25,950.5136264
2005,S23,0.27,950.5136264
2005,S23,0.53,950.5136264
2005,S23,0.09,950.5136264
2005,S23,0.53,950.5136264
2006,S23,0.75,803.6379998
2006,S23,0.31,803.6379998
2006,S23,0.52,803.6379998
2006,S23,0.29,803.6379998
2006,S23,0.67,803.6379998
2006,S23,0.98,803.6379998
2006,S23,0.73,803.6379998
2006,S23,0.31,803.6379998
2006,S23,0.78,803.6379998
2006,S23,0.32,803.6379998
2006,S23,0.18,803.6379998
2006,S23,0.23,803.6379998
2006,S23,1.18,803.6379998
2006,S23,0.34,803.6379998
2006,S23,1.06,803.6379998
2006,S23,0.45,803.6379998
2006,S23,0.36,803.6379998
2006,S23,0.54,803.6379998
2006,S23,0.48,803.6379998
