#Datasets,4_TES_45_Merged_CAZY,5_TES_129_Merged_CAZY,7_TES_27_Merged_CAZY,17_TES_144_Merged_CAZY,23_TES_136_Merged_CAZY,32_TES_43_Merged_CAZY,37_TES_034_Merged_CAZY,42_TES_027_merged_CAZY,44_TES_140_Merged_CAZY,49_TES_40_Merged_CAZY,55_TES_134_Merged_CAZY,58_TES_130_merged_CAZY,59_TES_139_Merged_CAZY,66_TES_026_Merged_CAZY,70_TES_135_Merged_CAZY,73_TES_031_Merged_CAZY,79_TES_35_Merged_CAZY,85_TES_029_Merged_CAZY,86_TES_44_Merged_CAZY,87_TES_128_Merged_CAZY,90_TES_138_Merged_CAZY,104_TES_131_Merged_CAZY,110_TES_036_Merged_CAZY,113_TES_122_merged_CAZY,117_TES_141_Merged_CAZY,119_TES_042_Merged_CAZY,122_TES_121_merged_CAZY,123_TES_033_Merged_CAZY,130_TES_133_Merged_CAZY,137_TES_038_Merged_CAZY,143_TES_025_Merged_CAZY
"uncultured marine bacterium 583",4.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0
"Rhodothermus marinus",24.0,29.0,49.0,11.0,47.0,134.0,45.0,18.0,40.0,43.0,18.0,7.0,7.0,15.0,30.0,12.0,29.0,12.0,18.0,27.0,17.0,34.0,35.0,63.0,19.0,6.0,11.0,21.0,25.0,42.0,15.0
"Salinibacter ruber",3.0,4.0,17.0,0.0,5.0,18.0,7.0,0.0,9.0,7.0,4.0,0.0,0.0,2.0,5.0,0.0,0.0,6.0,0.0,6.0,5.0,0.0,0.0,12.0,3.0,0.0,2.0,7.0,0.0,10.0,0.0
"Bacteroides cellulosilyticus",12.0,13.0,17.0,13.0,18.0,47.0,32.0,6.0,13.0,13.0,10.0,7.0,4.0,6.0,7.0,4.0,8.0,0.0,17.0,7.0,8.0,0.0,18.0,14.0,10.0,0.0,7.0,8.0,9.0,14.0,15.0
"Bacteroides fragilis",10.0,5.0,15.0,8.0,4.0,22.0,0.0,0.0,19.0,9.0,7.0,0.0,1.0,9.0,4.0,6.0,5.0,6.0,0.0,3.0,5.0,0.0,9.0,10.0,4.0,0.0,2.0,10.0,7.0,11.0,11.0
"Bacteroides helcogenes",4.0,7.0,8.0,4.0,6.0,0.0,15.0,6.0,8.0,0.0,3.0,0.0,0.0,2.0,5.0,4.0,5.0,0.0,0.0,3.0,0.0,0.0,8.0,11.0,4.0,0.0,2.0,7.0,5.0,6.0,4.0
"Bacteroides intestinalis",0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bacteroides ovatus",0.0,0.0,0.0,0.0,5.0,0.0,6.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0
"Bacteroides thetaiotaomicron",85.0,73.0,126.0,82.0,135.0,529.0,162.0,76.0,170.0,101.0,94.0,23.0,34.0,56.0,112.0,58.0,129.0,60.0,153.0,68.0,99.0,215.0,113.0,198.0,87.0,2.0,31.0,77.0,87.0,130.0,142.0
"Phocaeicola dorei",0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0
"Phocaeicola salanitronis",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
"Phocaeicola vulgatus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Barnesiella viscericola",0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
