"","Sample","Site","Warming","Horizon","Experiment.duration","Plot","Timepoint","Timepoint_days","MBC","BG","NAG","OX","Respiration","avg.C","avg.N","log.mbc","log.n","log.resp","log.bg","OX.std","avg.C.std","log.mbc.std","log.n.std","log.resp.std","log.bg.std","meanFunction"
"26","PS28","PH","Heated","Mineral",28,6,"July",197,139.3128063,1103.3133,1952.9813,0.002888082,0.216826523,0.0400187185,0.001856465,4.93672180979778,-6.28908113720463,-1.52865767833851,7.00607302243846,0.0145155548501259,0.0682489997349229,0.583859734420619,0,0.116989807045792,0.748512925477146,0.255354503588101
"27","PS29","PH","Control","Mineral",28,10,"July",197,299.7524571,523.595,616.2123,0.006002748,0.322422155,0.0620669095,0.0032023515,5.70295699103833,-5.74386989529193,-1.13189355172807,6.26071848471589,0.0301699251771533,0.105850578149148,0.674481383089368,0.252397355407359,0.230337553861915,0.668880939946655,0.327019622605266
"28","PS30","SWaN","Heated","Organic",13,2,"July",197,677.0815267,4017.3547,2507.2411,0.008325863,1.522586075,0.142912441,0.006780222,6.51779168914792,-4.99374543420305,0.420410254307632,8.29837893018725,0.0418459451813119,0.243726723731201,0.770850834066079,0.59965620784958,0.673800374685423,0.886579952829336,0.536076673057155
"29","PS31","PH","Control","Organic",28,13,"July",197,1115.830826,7915.44,3378.848,0.011505881,3.110047528,0.0161972035,0.012206394,7.01735454184466,-4.40579536617385,1.13463800838948,8.97657056142067,0.0578287758985102,0.0276231468375978,0.829933489670259,0.871838860873286,0.877841267520992,0.959036406009717,0.60401699113506
"30","PS32","SWaN","Heated","Organic",13,18,"July",197,934.5978653,3457.6328,2491.5273,0.007146722,1.613506519,0.1655897795,0.0077851865,6.84011634618497,-4.85553251765686,0.478409772786812,8.14833947205654,0.0359195601750924,0.282401267227022,0.808971756391775,0.663639801615946,0.690369702139994,0.870550077978939,0.558642027588128
"31","PS33","PH","Control","Mineral",28,13,"July",197,306.8125107,1910.0427,845.2823,0.004554891,0.514660225,0.0687250065,0.00312931,5.72623684669299,-5.76694274601649,-0.664248353335563,7.55488087681173,0.0228929684637918,0.117205475992468,0.677234661654286,0.241716125717084,0.363934635836049,0.807146309868962,0.371688362922107
"32","PS34","SWaN","Heated","Mineral",13,5,"July",197,143.0551483,1741.1805,1245.8497,0.002837284,0.179564545,0.038956188,0.0019604795,4.96323020836267,-6.23456619280275,-1.71722055351528,7.46231861044245,0.0142602431396977,0.0664369316195272,0.586994848600092,0.0252368747000552,0.0631210835373239,0.797257167610958,0.258884524867942
"33","PS35","SWaN","Heated","Organic",13,5,"July",197,708.6574806,6701.1447,5321.6473,0.010176356,1.326112898,0.1579466385,0.007224276,6.56337230768505,-4.93030825761722,0.282252029919104,8.810033641532,0.0511465580590882,0.269366448831151,0.776241595153933,0.629023495927874,0.63433127355388,0.941243979823665,0.550225558558265
"34","PS36","PH","Control","Organic",28,5,"July",197,987.8355375,4141.2695,3699.3369,0.007977197,2.358098949,0.027748176,0.011717282,6.89551622387162,-4.44669043299164,0.857855764339078,8.32875766232623,0.0400935432594225,0.0473224862627372,0.815523828620934,0.852907103931136,0.798769996663314,0.889825547557339,0.574073751049147
"35","PS37","PH","Heated","Organic",28,6,"July",197,425.3430556,2896.444,4839.9353,0.010788538,1.657385108,0.1379925885,0.00570691,6.05289603296912,-5.1660775576588,0.505241124234963,7.9712390566712,0.0542233963895995,0.235336274847428,0.715868223174141,0.519877639712626,0.698034894194178,0.851629071931937,0.512494916708318
